,movie_title,link,story
0,肖申克的救贖,https://movie.douban.com/subject/1292052/,一場謀殺案使銀行家安迪（蒂姆•羅賓斯TimRobbins飾）蒙冤入獄，謀殺妻子及其情人的指控將囚禁他終生。在肖申克監獄的首次現身就讓監獄“大哥”瑞德（摩根•弗裡曼MorganFreeman飾）對他另眼相看。瑞德幫助他搞到一把石錘和一幅女明星海報，兩人漸成患難之交。很快，安迪在監獄裡大顯其才，擔當監獄圖書管理員，並利用自己的金融知識幫助監獄官避稅，引起了典獄長的注意，被招致麾下幫助典獄長洗黑錢。偶然一次，他得知一名新入獄的小偷能夠作證幫他洗脫謀殺罪。燃起一絲希望的安迪找到了典獄長，希望他能幫自己翻案。陰險偽善的獄長假裝答應安迪，背後卻派人殺死小偷，讓他唯一能合法出獄的希望泯滅。沮喪的安迪並沒有絕望，在一個電閃雷鳴的風雨夜，一場暗藏幾十年的越獄計畫讓他自我救贖，重獲自由！老朋友瑞德在他的鼓舞和幫助下，也勇敢地奔向自由。本片獲得1995年奧...
1,霸王別姬,https://movie.douban.com/subject/1291546/,段小樓（張豐毅）與程蝶衣（張國榮）是一對打小一起長大的師兄弟，兩人一個演生，一個飾旦，一向配合天衣無縫，尤其一出《霸王別姬》，更是譽滿京城，為此，兩人約定合演一輩子《霸王別姬》。但兩人對戲劇與人生關係的理解有本質不同，段小樓深知戲非人生，程蝶衣則是人戲不分。段小樓在認為該成家立業之時迎娶了名妓菊仙（鞏俐），致使程蝶衣認定菊仙是可恥的第三者，使段小樓做了叛徒，自此，三人圍繞一出《霸王別姬》生出的愛恨情仇戰開始隨著時代風雲的變遷不斷升級，終釀成悲劇。
2,阿甘正傳,https://movie.douban.com/subject/1292720/,阿甘（湯姆·漢克斯飾）于二戰結束後不久出生在美國南方阿拉巴馬州一個閉塞的小鎮，他先天弱智，智商只有75，然而他的媽媽是一個性格堅強的女性，她常常鼓勵阿甘“傻人有傻福”，要他自強不息。阿甘像普通孩子一樣上學，並且認識了一生的朋友和至愛珍妮（羅賓·萊特·潘飾），在珍妮和媽媽的愛護下，阿甘憑著上帝賜予的“飛毛腿”開始了一生不停的奔跑。阿甘成為橄欖球巨星、越戰英雄、乒乓球外交使者、億萬富翁，但是，他始終忘不了珍妮，幾次匆匆的相聚和離別，更是加深了阿甘的思念。有一天，阿甘收到珍妮的信，他們終於又要見面……
3,泰坦尼克號,https://movie.douban.com/subject/1292722/,1912年4月10日，號稱“世界工業史上的奇跡”的豪華客輪泰坦尼克號開始了自己的處女航，從英國的南安普頓出發駛往美國紐約。富家少女羅絲（凱特•溫絲萊特）與母親及未婚夫卡爾坐上了頭等艙；另一邊，放蕩不羈的少年畫家傑克（萊昂納多·迪卡普里奧）也在碼頭的一場賭博中贏得了下等艙的船票。羅絲厭倦了上流社會虛偽的生活，不願嫁給卡爾，打算投海自盡，被傑克救起。很快，美麗活潑的羅絲與英俊開朗的傑克相愛，傑克帶羅絲參加下等艙的舞會、為她畫像，二人的感情逐漸升溫。1912年4月14日，星期天晚上，一個風平浪靜的夜晚。泰坦尼克號撞上了冰山，“永不沉沒的”泰坦尼克號面臨沉船的命運，羅絲和傑克剛萌芽的愛情也將經歷生死的考驗。
4,這個殺手不太冷,https://movie.douban.com/subject/1295644/,里昂（讓·雷諾飾）是名孤獨的職業殺手，受人雇傭。一天，鄰居家小姑娘馬蒂爾達（納塔麗·波特曼飾)敲開他的房門，要求在他那裡暫避殺身之禍。原來鄰居家的主人是警方緝毒組的眼線，只因貪污了一小包毒品而遭惡警（加里·奧德曼飾）殺害全家的懲罰。馬蒂爾達得到里昂的留救，倖免於難，並留在里昂那裡。里昂教小女孩使槍，她教里昂法文，兩人關係日趨親密，相處融洽。女孩想著去報仇，反倒被抓，里昂及時趕到，將女孩救回。混雜著哀怨情仇的正邪之戰漸次升級，更大的衝突在所難免……
5,美麗人生,https://movie.douban.com/subject/1292063/,猶太青年圭多（羅伯托·貝尼尼）邂逅美麗的女教師朵拉（尼可萊塔·布拉斯基），他彬彬有禮的向朵拉鞠躬：“早安！公主！”。歷經諸多令人啼笑皆非的周折後，天遂人願，兩人幸福美滿的生活在一起。然而好景不長，法西斯政權下，圭多和兒子被強行送往猶太人集中營。朵拉雖沒有猶太血統，毅然同行，與丈夫兒子分開關押在一個集中營裡。聰明樂天的圭多哄騙兒子這只是一場遊戲，獎品就是一輛大坦克，兒子快樂、天真的生活在納粹的陰霾之中。儘管集中營的生活艱苦寂寞，圭多仍然帶給他人很多快樂，他還趁機在納粹的廣播裡問候妻子：“早安！公主！”法西斯政權即將傾覆，納粹的集中營很快就要接受最後的清理，圭多編給兒子的遊戲該怎麼結束？他們一家能否平安的度過這黑暗的年代呢？
6,千與千尋,https://movie.douban.com/subject/1291561/,千尋和爸爸媽媽一同驅車前往新家，在郊外的小路上不慎進入了神秘的隧道——他們去到了另外一個詭異世界—一個中世紀的小鎮。遠處飄來食物的香味，爸爸媽媽大快朵頤，孰料之後變成了豬！這時小鎮上漸漸來了許多樣子古怪、半透明的人。千尋倉皇逃出，一個叫小白的人救了他，喂了她阻止身體消失的藥，並且告訴她怎樣去找鍋爐爺爺以及湯婆婆，而且必須獲得一份工作才能不被魔法變成別的東西。千尋在小白的幫助下幸運地獲得了一份在浴池打雜的工作。漸漸她不再被那些怪模怪樣的人嚇倒，並從小玲那兒知道了小白是兇惡的湯婆婆的弟子。一次，千尋發現小白被一群白色飛舞的紙人打傷，為了救受傷的小白，她用河神送給她的藥丸驅出了小白身體內的封印以及守封印的小妖精，但小白還是沒有醒過來。為了救小白，千尋又踏上了她的冒險之旅。
7,辛德勒的名單,https://movie.douban.com/subject/1295124/,1939年，波蘭在納粹德國的統治下，党衛軍對猶太人進行了隔離統治。德國商人奧斯卡·辛德勒（連姆·尼森LiamNeeson飾）來到德軍統治下的克拉科夫，開設了一間搪瓷廠，生產軍需用品。憑著出眾的社交能力和大量的金錢，辛德勒和德軍建立了良好的關係，他的工廠雇用猶太人工作，大發戰爭財。1943年，克拉科夫的猶太人遭到了慘絕人寰的大屠殺，辛德勒目睹這一切，受到了極大的震撼，他賄賂軍官，讓自己的工廠成為集中營的附屬勞役營，在那些瘋狂屠殺的日子裡，他的工廠也成為了猶太人的避難所。1944年，德國戰敗前夕，屠殺猶太人的行動越發瘋狂，辛德勒向德軍軍官開出了1200人的名單，傾家蕩產買下了這些猶太人的生命。在那些暗無天日的歲月裡，拯救一個人，就是拯救全世界。
8,盜夢空間,https://movie.douban.com/subject/3541415/,道姆·柯布（萊昂納多·迪卡普里奧LeonardoDiCaprio飾）與同事亞瑟（約瑟夫·戈登-萊維特JosephGordon-Levitt飾）和納什（盧卡斯·哈斯LukasHaas飾）在一次針對日本能源大亨齊藤（渡邊謙飾）的盜夢行動中失敗，反被齊藤利用。齊藤威逼利誘因遭通緝而流亡海外的柯布幫他拆分他競爭對手的公司，採取極端措施在其唯一繼承人羅伯特·費希爾（希裡安·墨菲CillianMurphy飾）的深層潛意識中種下放棄家族公司、自立門戶的想法。為了重返美國，柯布偷偷求助於岳父邁爾斯（邁克爾·凱恩MichaelCaine飾），吸收了年輕的夢境設計師艾裡阿德妮（艾倫·佩吉EllenPage飾）、夢境演員艾姆斯（湯姆·哈迪TomHardy飾）和藥劑師約瑟夫（迪利普·勞DileepRao飾）加入行動。在一層層...
9,忠犬八公的故事,https://movie.douban.com/subject/3011091/,八公（Forest飾）是一條謎一樣的犬，因為沒有人知道它從哪裡來。教授派克（理查·基爾RichardGere飾）在小鎮的火車站揀到一隻走失的小狗，冥冥中似乎註定小狗和派克教授有著某種緣分，派克一抱起這只小狗就再也放不下來，最終，派克對小狗八公的疼愛感化了起初極力反對養狗的妻子卡特（瓊·艾倫JoanAllen飾）。八公在派克的呵護下慢慢長大，派克上班時八公會一直把他送到車站，下班時八公也會早早便爬在車站等候，八公的忠誠讓小鎮的人家對它更加疼愛。有一天，八公在派克要上班時表現異常，居然玩起了以往從來不會的撿球遊戲，八公的表現讓派克非常滿意，可是就是在那天，派克因病去世。派克的妻子、女兒安迪（薩拉·羅默爾SarahRoemer飾）及女婿邁克爾（羅比·薩布萊特RobbieSublett飾）懷著無比沉痛的心情埋葬了派克，可是不明就裡的...
